ENTITYA	TYPEA	IDA	DATABASEA	ENTITYB	TYPEB	IDB	DATABASEB	EFFECT	MECHANISM
SDHB	protein	P21912	UNIPROT	SDHA/SDHB	complex	SIGNOR-C69	SIGNOR	form complex	binding
PPM1A	protein	P35813	UNIPROT	CDK9	protein	P50750	UNIPROT	unknown	dephosphorylation
SDHC	protein	Q99643	UNIPROT	SDHC/SDHD	complex	SIGNOR-C70	SIGNOR	form complex	binding
SDHD	protein	O14521	UNIPROT	SDHC/SDHD	complex	SIGNOR-C70	SIGNOR	form complex	binding
WNT6	protein	Q9Y6F9	UNIPROT	CTNNB1	protein	P35222	UNIPROT	up-regulates	
SMAD3	protein	P84022	UNIPROT	CDKN2B	protein	P42772	UNIPROT	up-regulates quantity by expression	transcriptional regulation
CDK12	protein	Q9NYV4	UNIPROT	CDK12/CCNK	complex	SIGNOR-C37	SIGNOR	form complex	binding
IKBKB	protein	O14920	UNIPROT	IKK-complex	complex	SIGNOR-C14	SIGNOR	form complex	binding
ARID1A	protein	O14497	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
SMARCA4	protein	P51532	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
SUZ12	protein	Q15022	UNIPROT	SUZ12/EZH2	complex	SIGNOR-C77	SIGNOR	form complex	binding
RBX1	protein	P62877	UNIPROT	DCX DET1-COP1	complex	SIGNOR-C24	SIGNOR	form complex	binding
SMARCC1	protein	Q92922	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
SMARCC2	protein	Q8TAQ2	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
SMARCD1	protein	Q96GM5	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CSNK1D	protein	P48730	UNIPROT	MDM2	protein	Q00987	UNIPROT	down-regulates	phosphorylation
PRKACA	protein	P17612	UNIPROT	ADD1	protein	P35611	UNIPROT	down-regulates activity	phosphorylation
SMARCE1	protein	Q969G3	UNIPROT	SWI/SNF complex	complex	SIGNOR-C92	SIGNOR	form complex	binding
PRKAB2	protein	O43741	UNIPROT	AMPK	complex	SIGNOR-C15	SIGNOR	form complex	binding
TGFB1	protein	P01137	UNIPROT	CDKN2B	protein	P42772	UNIPROT	up-regulates quantity by expression	transcriptional regulation
CSNK1D	protein	P48730	UNIPROT	MDM2	protein	Q00987	UNIPROT	down-regulates	phosphorylation
PRKAG2	protein	Q9UGJ0	UNIPROT	AMPK	complex	SIGNOR-C15	SIGNOR	form complex	binding
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
PICALM	protein	Q13492	UNIPROT	CLTCL1	protein	P53675	UNIPROT	up-regulates	binding
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
CDK9	protein	P50750	UNIPROT	POLR2A	protein	P24928	UNIPROT	up-regulates	phosphorylation
